Name,Cost,Bhk
AnuharTowers,₹1.12 Cr - 1.7 Cr,"2, 2.5, 3 BHK"
PranathiKiara,₹2.77 Cr - 3.57 Cr,"2.5, 3 BHK"
RamkyOneHarmony,₹1.4 Cr,"2, 2.5, 3, 3.5 BHK"
GHRTitania,₹1.71 Cr - 2.21 Cr,3 BHK
SSSignature,₹65.16 L - 1.17 Cr,2 BHK
SreeHemadurgaParadise,nan,"2, 3 BHK"
TheRegent,nan,3 BHK
GHRCallisto,nan,"2, 3 BHK"
PoulomiAvante,₹60.75 L - 1.41 Cr,"2, 3 BHK"
AasthaGardenia,₹35.78 L - 64.35 L,"2, 3 BHK"
SMRVinayIconiaPhaseIIBlock4IsNamedAsShivalik,₹1.23 Cr - 1.39 Cr,"2, 3, 4 BHK"
MyHomeApas,₹29.28 L - 48.65 L,3 BHK
CandeurTwins,₹31.5 L - 63.0 L,3 BHK
SRIMarvel,₹3.62 Cr - 4.8 Cr,"2, 3 BHK"
SriSaiAkaryaResidence,₹2.6 Cr,"2, 3 BHK"
SriSriGruhanirmanGruhanirmanAeroCity,nan,"1, 2, 3 BHK"
TheArt,₹22.49 L - 59.98 L,"2, 3 BHK"
HAndMSamshrayaHomes,₹93.96 L - 1.4 Cr,"2, 3 BHK"
AavasaEmerald,₹32.79 L - 98.78 L,"2, 3 BHK"
OmsreeDelight,nan,"2, 3 BHK"
VaishnaviHoudiniTowers,₹95.67 L - 1.3 Cr,2 BHK
MuppaIndraprastha,₹1.28 Cr - 2.48 Cr,4 BHK
PranaveerEmpireCustomizedVillas,₹1.45 Cr,3 BHK
JainSalzburg,nan,"2, 3 BHK"
PlatinumTowers,₹74.0 L - 1.85 Cr,3 BHK
SreenidhiPundarikaksha,nan,2 BHK
DivineSpace,₹1.31 Cr - 1.98 Cr,"2, 2.5, 3 BHK"
KonceptBotanikaTowerAAndTowerB,₹27.0 L - 72.0 L,"3, 4 BHK"
SMRVinayIconia,₹74.08 L - 1.1 Cr,"2, 3, 4 BHK"
IndisVivaCity,₹1.22 Cr - 2.4 Cr,"2, 3 BHK"
DEVSWaterFront,₹24.0 L - 72.01 L,"3, 4 BHK"
AnuharArtOfLiving,₹2.82 Cr - 3.94 Cr,"2, 3 BHK"
BommarilluBrindavan,₹1.37 Cr - 1.77 Cr,"2, 3 BHK"
AlpineGMRSpringfield,₹67.65 L - 91.85 L,"2, 3 BHK"
ElementalVillage,₹1.07 Cr - 1.7 Cr,4 BHK
UrrbanLeagueRiverscape,₹3.95 Cr,"3, 4 BHK"
GiridhariProsperaCounty,₹79.37 L - 98.27 L,"1.5, 4, 4.5, 5 BHK"
SMRVinayIconiaPhaseIIBlock5,₹83.65 L - 1.77 Cr,4 BHK
CozyEssenceElite,₹12.74 L - 42.48 L,"2, 3 BHK"
GoldenStoneResidency,₹83.51 L - 1.03 Cr,"2, 3 BHK"
JanapriyaNileValley,nan,"2, 3 BHK"
ThimuBlueBell,nan,2 BHK
BhanodhayaCrystalLuxuryApartments,₹6.59 L - 11.99 L,"2, 3 BHK"
VardhanGreenOaks,nan,3 BHK
BhanodhayaCrystal,nan,"2, 3 BHK"
PanchajanyaHeights,₹1.66 Cr - 2.07 Cr,3 BHK
SiddharthVihaan,₹1.45 Cr,"3, 4 BHK"
ShylaHeights,nan,2 BHK
