PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
35000,3,"in Kondapur, Hyderabad",1700,Bathrooms2,Semi
27000,2,"in Kondapur, Hyderabad",1250,Bathrooms1,Semi
15000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Semi
16500,1,"in Kondapur, Hyderabad",600,Bathrooms1,Semi
14000,1,"in Kondapur, Hyderabad",500,Bathrooms1,Un
19000,1,"in Kondapur, Hyderabad",950,Bathrooms1,Semi
19500,1,"in Kondapur, Hyderabad",1060,Bathrooms1,Semi
25000,1,"in Kondapur, Hyderabad",950,Bathrooms1,Fully
20000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Fully
35000,2,"in Kondapur, Hyderabad",1450,Bathrooms1,Fully
37000,3,"in Kondapur, Hyderabad",2000,Bathrooms3,Semi
36000,3,"in Kondapur, Hyderabad",1800,Bathrooms2,Semi
28000,2,"in Kondapur, Hyderabad",1200,Bathrooms2,Semi
28000,2,"in Kondapur, Hyderabad",1350,Bathrooms2,Semi
18000,1,"in Kondapur, Hyderabad",800,Bathrooms1,Semi
22000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
38000,2,"in Kondapur, Hyderabad",1405,Bathrooms2,Fully
26000,2,"in Kondapur, Hyderabad",1300,Bathrooms1,Semi
40000,3,"in Kondapur, Hyderabad",2000,Bathrooms3,Semi
25000,1,"in Kondapur, Hyderabad",850,Bathrooms1,Fully
14000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Un
16000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
24000,1,"in Kondapur, Hyderabad",758,Bathrooms1,Fully
18000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Semi
38000,2,"in Kondapur, Hyderabad",1250,Bathrooms2,Fully
17000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Semi
45000,3,"in Kondapur, Hyderabad",3000,Bathrooms3,Semi
22000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Fully
37000,2,"in Kondapur, Hyderabad",1500,Bathrooms2,Semi
35000,2,"in Kondapur, Hyderabad",2500,Bathrooms2,Fully
28000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Semi
30008,2,"in Kondapur, Hyderabad",650,Bathrooms2,Semi
14000,1,"in Hafeezpet, Hyderabad",650,Bathrooms1,Un
28000,1,"in Kondapur, Hyderabad",850,Bathrooms1,Fully
30000,2,"in Madhapur, Hyderabad",1200,Bathrooms2,Semi
