,PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
324,"50,012",3,"in Borabanda, Hyderabad",2775,,Semi
325,"60,011",3,"in Kokapet, Hyderabad",2275,,Semi
326,"85,011",3,"in Kondapur, Hyderabad",3056,,Semi
327,"80,012",3,"in Kokapet, Hyderabad",2561,,Fully
328,"70,012",4,"in Nanakaramguda, Hyderabad",2491,,Semi
329,"70,011",3,"in Nanakaramguda, Hyderabad",2178,,Fully
330,"1,00,012",5,"in Shaikpet, Hyderabad",5981,,Semi
331,"60,011",3,"in Nanakaramguda, Hyderabad",2438,,Semi
332,"45,014",2,"in Nallagandla, Hyderabad",1594,,Semi
333,"70,012",2,"in Nallagandla, Hyderabad",2444,,Fully
334,"45,012",3,"in Kokapet, Hyderabad",2344,,Semi
335,"80,012",3,"in Narsingi, Hyderabad",2656,,Semi
336,"1,00,021",3,"in Kondapur, Hyderabad",2988,,Semi
337,"75,011",3,"in Kondapur, Hyderabad",2438,,Semi
338,"45,012",2,"in Nallagandla, Hyderabad",1544,,Semi
339,"65,011",3,"in Nallagandla, Hyderabad",2481,,Semi
340,"65,012",3,"in Nallagandla, Hyderabad",2481,,Semi
341,"1,00,011",4,"in Manikonda, Hyderabad",4574,,Fully
342,"2,20,014",3,"in Rai Durg, Hyderabad",4288,,Semi
343,"1,00,023",3,"in Kondapur, Hyderabad",3000,,Semi
344,"25,000",2,"in Narayanguda, Hyderabad",1150,Bathrooms2,Fully
345,"20,000",2,"in Nallakunta, Hyderabad",1100,Bathrooms2,Fully
346,"11,500",1,"in Zamistanpur, Hyderabad",800,Bathrooms1,Semi
347,"65,000",3,"in Kondapur, Hyderabad",1620,,Semi
348,"67,000",3,"in Kondapur, Hyderabad",1620,,Semi
349,"65,000",3,"in Kondapur, Hyderabad",1620,,Semi
350,"65,000",3,"in Kondapur, Hyderabad",1620,,Semi
351,"65,000",3,"in Kondapur, Hyderabad",1620,,Semi
352,"48,000",2,"in Kondapur, Hyderabad",1290,,Semi
353,"40,000",2,"in Madhapur, Hyderabad",1050,Bathrooms2,Fully
354,"65,000",3,"in Banjara Hills, Hyderabad",2425,Bathrooms3,Fully
355,"55,000",3,"in Kothaguda, Hyderabad",1765,Bathrooms3,Semi
356,"50,000",2,"in Nanakaramguda, Hyderabad",1283,,Semi
357,"2,20,000",4,"in Gachibowli, Hyderabad",4800,,Fully
358,"33,000",3,"in Kukatpally, Hyderabad",1700,Bathrooms2,Semi
359,"27,500",2,"in Kukatpally, Hyderabad",1200,Bathrooms2,Semi
360,"18,000",2,"in Uppal, Hyderabad",1850,Bathrooms2,Un
361,"65,032",3,"in Nallagandla, Hyderabad",2481,,Semi
362,"50,036",2,"in Gopanapalli, Hyderabad",1938,,Semi
363,"1,00,012",3,"in Kondapur, Hyderabad",3000,,Semi
364,"1,00,000",5,"in Shaikpet, Hyderabad",5981,,Semi
365,"45,000",2,"in Nallagandla, Hyderabad",1594,,Semi
366,"70,000",2,"in Nallagandla, Hyderabad",2444,,Fully
367,"55,000",3,"in Borabanda, Hyderabad",1938,,Semi
368,"1,20,012",5,"in Tellapur, Hyderabad",5000,,Semi
369,"70,000",3,"in Nanakaramguda, Hyderabad",2178,,Fully
370,"55,000",2,"in Kondapur, Hyderabad",2938,,Fully
371,"65,016",3,"in Gopanapalli, Hyderabad",2456,,Fully
372,"65,000",3,"in Nallagandla, Hyderabad",2481,,Semi
373,"26,000",1,"in Kondapur, Hyderabad",500,Bathrooms1,Fully
374,"1,20,000",5,"in Tellapur, Hyderabad",5000,,Semi
375,"2,50,011",4,"in Kondapur, Hyderabad",5125,,Semi
376,"50,021",3,"in Manikonda, Hyderabad",1688,,Semi
377,"70,000",3,"in Nanakaramguda, Hyderabad",2178,,Fully
378,"55,016",2,"in Kondapur, Hyderabad",2938,,Fully
379,"1,00,000",5,"in Shaikpet, Hyderabad",5981,,Semi
380,"80,036",3,"in Kokapet, Hyderabad",2561,,Fully
381,"70,026",4,"in Nanakaramguda, Hyderabad",2491,,Semi
382,"1,00,012",5,"in Shaikpet, Hyderabad",5981,,Semi
383,"60,015",3,"in Nanakaramguda, Hyderabad",2438,,Semi
384,"28,012",1,"in Kondapur, Hyderabad",325,Bathrooms1,Fully
385,"70,000",2,"in Nallagandla, Hyderabad",2444,,Fully
386,"55,012",3,"in Borabanda, Hyderabad",1938,,Semi
387,"80,026",3,"in Narsingi, Hyderabad",2656,,Semi
388,"85,032",3,"in Kondapur, Hyderabad",3056,,Semi
389,"2,50,032",5,"in Kondapur, Hyderabad",5125,,Semi
390,"55,021",3,"in Puppalaguda, Hyderabad",2063,,Semi
391,"70,016",3,"in Nanakaramguda, Hyderabad",2178,,Fully
392,"42,035",3,"in Chandanagar, Hyderabad",2250,Bathrooms3,Semi
393,"65,011",3,"in Gopanapalli, Hyderabad",2456,,Fully
394,"42,014",3,"in Serilingampally, Hyderabad",1800,,Semi
395,"1,00,017",3,"in Kondapur, Hyderabad",2988,,Semi
396,"75,014",3,"in Kondapur, Hyderabad",2438,,Semi
397,"80,025",4,"in Kothaguda, Hyderabad",5000,,Fully
398,"65,012",3,"in Nallagandla, Hyderabad",2481,,Semi
399,"50,014",2,"in Gopanapalli, Hyderabad",1938,,Semi
400,"1,20,015",5,"in Tellapur, Hyderabad",5000,,Semi
401,"1,00,014",4,"in Manikonda, Hyderabad",4574,,Fully
402,"75,014",3,"in Kokapet, Hyderabad",2794,,Semi
403,"45,014",2,"in Nallagandla, Hyderabad",1544,,Semi
404,"2,20,014",3,"in Rai Durg, Hyderabad",4288,,Semi
405,"65,011",3,"in Nallagandla, Hyderabad",2481,,Semi
406,"1,00,017",3,"in Kondapur, Hyderabad",3000,,Semi
407,"85,011",3,"in Kondapur, Hyderabad",3056,,Semi
408,"60,011",3,"in Nanakaramguda, Hyderabad",2438,,Semi
409,"55,012",3,"in Borabanda, Hyderabad",1938,,Semi
410,"42,011",3,"in Serilingampally, Hyderabad",1800,,Semi
411,"65,021",3,"in Nallagandla, Hyderabad",2481,,Semi
412,"28,000",2,"in Kondapur, Hyderabad",1120,Bathrooms2,Semi
413,"1,10,000",5,"in Kompally, Hyderabad",3500,,Un
414,"30,000",3,"in Bachupally, Hyderabad",2600,,Semi
415,"65,023",3,"in Gopanapalli, Hyderabad",2456,,Fully
416,"70,000",2,"in Nallagandla, Hyderabad",2444,,Fully
417,"55,000",3,"in Borabanda, Hyderabad",1938,,Semi
418,"45,023",2,"in Nallagandla, Hyderabad",1544,,Semi
419,"50,026",2,"in Gopanapalli, Hyderabad",1938,,Semi
420,"80,021",3,"in Kokapet, Hyderabad",2561,,Fully
421,"65,026",2,"in Nanakaramguda, Hyderabad",1638,,Fully
422,"60,000",3,"in Nanakaramguda, Hyderabad",2438,,Semi
423,"45,026",2,"in Nallagandla, Hyderabad",1594,,Semi
424,"55,000",2,"in Kondapur, Hyderabad",1613,,Semi
425,"75,015",3,"in Kondapur, Hyderabad",2438,,Semi
426,"2,20,016",3,"in Rai Durg, Hyderabad",4288,,Semi
427,"80,026",4,"in Kothaguda, Hyderabad",5000,,Fully
428,"65,016",3,"in Nallagandla, Hyderabad",2481,,Semi
429,"58,015",3,"in Manikonda, Hyderabad",2313,,Semi
430,"58,012",3,"in Manikonda, Hyderabad",2313,,Semi
431,"50,000",3,"in Borabanda, Hyderabad",2775,,Semi
432,"45,012",3,"in Osman Nagar, Hyderabad",2533,,Fully
433,"60,000",3,"in Kokapet, Hyderabad",2275,,Semi
434,"52,000",3,"in Borabanda, Hyderabad",2063,,Semi
435,"38,026",2,"in Tellapur, Hyderabad",1506,,Semi
436,"60,015",3,"in Gopanapalli, Hyderabad",2013,,Semi
437,"65,026",3,"in Nallagandla, Hyderabad",2313,,Fully
438,"1,00,000",4,"in Manikonda, Hyderabad",4574,,Fully
439,"60,016",3,"in Kokapet, Hyderabad",2238,,Semi
440,"27,000",3,"in Trimalgherry, Hyderabad",2200,,Semi
441,"12,000",1,"in Kothapet, Hyderabad",500,Bathrooms2,Semi
442,"38,000",3,"in Mallapur, Hyderabad",1698,,Semi
443,"2,00,000",2,"in Nallagandla, Hyderabad",3300,Bathrooms1,Un
444,"50,000",2,"in Kondapur, Hyderabad",1290,,Semi
445,"20,000",3,"in Bapu nagar, Hyderabad",1200,Bathrooms2,Un
446,"75,000",3,"in Kondapur, Hyderabad",2290,,Semi
447,"22,000",3,"in Chengicherla, Hyderabad",1900,Bathrooms3,Un
448,"3,50,021",6,"in Gachibowli, Hyderabad",7500,,Semi
449,"3,50,021",6,"in Gachibowli, Hyderabad",7500,,Semi
450,"60,011",3,"in Kokapet, Hyderabad",2275,,Semi
451,"55,019",3,"in Borabanda, Hyderabad",2063,,Semi
452,"3,50,021",6,"in Gachibowli, Hyderabad",7500,,Semi
453,"50,036",3,"in Manikonda, Hyderabad",1688,,Semi
454,"50,035",3,"in Borabanda, Hyderabad",2775,,Semi
455,"45,015",3,"in Osman Nagar, Hyderabad",2533,,Fully
456,"50,026",2,"in Khaja Guda, Hyderabad",1643,,Fully
457,"45,011",2,"in Nallagandla, Hyderabad",1594,,Semi
458,"45,011",3,"in Kokapet, Hyderabad",2344,,Semi
459,"65,026",3,"in Gachibowli, Hyderabad",2313,,Fully
460,"2,50,012",5,"in Shaikpet, Hyderabad",6520,,Semi
461,"50,000",3,"in Habsiguda, Hyderabad",2000,Bathrooms3,Semi
462,"40,000",4,"in Kompally, Hyderabad",6000,Bathrooms4,Semi
463,"20,000",3,"in Nacharam, Hyderabad",1500,Bathrooms2,Semi
464,"65,012",3,"in Gachibowli, Hyderabad",2313,,Fully
465,"2,50,013",5,"in Kondapur, Hyderabad",5125,,Semi
466,"50,015",3,"in Manikonda, Hyderabad",1688,,Semi
